,id,Flower
0,0, 'pink primrose'
1,1, 'hard-leaved pocket orchid'
2,2, 'canterbury bells'
3,3, 'sweet pea'
4,4, 'english marigold'
5,5, 'tiger lily'
6,6, 'moon orchid'
7,7, 'bird of paradise'
8,8, 'monkshood'
9,9, 'globe thistle'
10,10, 'snapdragon'
11,11," ""colt's foot"""
12,12, 'king protea'
13,13, 'spear thistle'
14,14, 'yellow iris'
15,15, 'globe-flower'
16,16, 'purple coneflower'
17,17, 'peruvian lily'
18,18, 'balloon flower'
19,19, 'giant white arum lily'
20,20, 'fire lily'
21,21, 'pincushion flower'
22,22, 'fritillary'
23,23, 'red ginger'
24,24, 'grape hyacinth'
25,25, 'corn poppy'
26,26, 'prince of wales feathers'
27,27, 'stemless gentian'
28,28, 'artichoke'
29,29, 'sweet william'
30,30, 'carnation'
31,31, 'garden phlox'
32,32, 'love in the mist'
33,33, 'mexican aster'
34,34, 'alpine sea holly'
35,35, 'ruby-lipped cattleya'
36,36, 'cape flower'
37,37, 'great masterwort'
38,38, 'siam tulip'
39,39, 'lenten rose'
40,40, 'barbeton daisy'
41,41, 'daffodil'
42,42, 'sword lily'
43,43, 'poinsettia'
44,44, 'bolero deep blue'
45,45, 'wallflower'
46,46, 'marigold'
47,47, 'buttercup'
48,48, 'oxeye daisy'
49,49, 'common dandelion'
50,50, 'petunia'
51,51, 'wild pansy'
52,52, 'primula'
53,53, 'sunflower'
54,54, 'pelargonium'
55,55, 'bishop of llandaff'
56,56, 'gaura'
57,57, 'geranium'
58,58, 'orange dahlia'
59,59, 'pink-yellow dahlia?'
60,60, 'cautleya spicata'
61,61, 'japanese anemone'
62,62, 'black-eyed susan'
63,63, 'silverbush'
64,64, 'californian poppy'
65,65, 'osteospermum'
66,66, 'spring crocus'
67,67, 'bearded iris'
68,68, 'windflower'
69,69, 'tree poppy'
70,70, 'gazania'
71,71, 'azalea'
72,72, 'water lily'
73,73, 'rose'
74,74, 'thorn apple'
75,75, 'morning glory'
76,76, 'passion flower'
77,77, 'lotus'
78,78, 'toad lily'
79,79, 'anthurium'
80,80, 'frangipani'
81,81, 'clematis'
82,82, 'hibiscus'
83,83, 'columbine'
84,84, 'desert-rose'
85,85, 'tree mallow'
86,86, 'magnolia'
87,87, 'cyclamen '
88,88, 'watercress'
89,89, 'canna lily'
90,90, 'hippeastrum '
91,91, 'bee balm'
92,92, 'ball moss'
93,93, 'foxglove'
94,94, 'bougainvillea'
95,95, 'camellia'
96,96, 'mallow'
97,97, 'mexican petunia'
98,98, 'bromelia'
99,99, 'blanket flower'
100,100, 'trumpet creeper'
101,101, 'blackberry lily'
